专题ID,小类ID,监测因子名称,化学名称,单位,最小值,最大值,最小超标值,最大超标值
2,2,甲苯,C<sub>7</sub>H<sub>8</sub> ,mg/m<sup>3</sup>,0,60,0,60
2,2,二甲苯,C<sub>8</sub>H<sub>10</sub> ,mg/m<sup>3</sup>,0,90,0,90
2,2,酚类, ,mg/m<sup>3</sup>,0,115,0,115
2,2,甲醛,CH<sub>2</sub>O,mg/m<sup>3</sup>,0,30,0,30	
2,2,乙醛,CH<sub>3</sub>CHO,mg/m<sup>3</sup>,0,150,0,150
2,2,丙烯腈,C<sub>3</sub>H<sub>3</sub>N,mg/m<sup>3</sup>,0,26,0,26
2,2,丙烯醛,C<sub>3</sub>H<sub>4</sub>O,mg/m<sup>3</sup>,0,20,0,20	
2,2,氯化氢,HCl,mg/m<sup>3</sup>,0,2.3,0,2.3
2,2,甲醇,CH<sub>4</sub>O,mg/m<sup>3</sup>,0,220,0,220	
2,2,苯胺类,,mg/m<sup>3</sup>,0,25,0,25
2,2,氯苯类,,mg/m<sup>3</sup>,0,85,0,85
2,2,硝基苯类,,mg/m<sup>3</sup>,0,20,0,20
2,2,氯乙烯,C<sub>2</sub>H<sub>3</sub>Cl,mg/m<sup>3</sup>,0,65,0,65
2,2,非甲烷总烃,,mg/m<sup>3</sup>,0,150,0,150
2,3,砷,As,mg/l,0,0.5,0,0.5
2,3,镉,Cd,mg/l,0,0.1,0,0.1
2,3,总铬,Cr,mg/l,0,1.5,0,1.5
2,3,六价铬,Cr6,mg/l,0,0.5,0,0.5
2,3,总铅,Pb,mg/l,0,1.0,0,1.0
2,3,总镍,Ni,mg/l,0,1.0,0,1.0
2,3,总银,Ag,mg/l,0,0.5,0,0.5
2,3,汞,Hg,mg/l,0,0.05,0,0.05
2,3,硒,Se,mg/l,0,0.05,0,0.05
2,3,铝,Al,mg/l,0,3.0,0,3.0
2,3,铁,Fe,mg/l,0,3.0,0,3.0
2,3,锰,Mn,mg/l,0,0.1,0,0.1
2,3,铜,Cu,mg/l,0,2.0,0,2.0
2,3,锌,Zn,mg/l,0,5.0,0,5.0
3,1,总汞,Hg,mg/l,0,0.05,0,0.05
3,1,烷基汞,,mg/l,0,0,0,0
3,1,总镉,Cd,mg/l,0,0.1,0,0.1
3,1,总铬,Cr,mg/l,0,1.5,0,1.5
3,1,六价铬,Cr6,mg/l,0,0.5,0,0.5
3,1,总砷,As,mg/l,0,0.5,0,0.5
3,1,总铅,Pb,mg/l,0,1.0,0,1.0
3,1,总镍,Ni,mg/l,0,1.0,0,1.0
3,1,总铍,Be,mg/l,0,0.005,0,0.005
3,1,总银,Ag,mg/l,0,0.5,0,0.5
3,1,苯并芘,C20H12,mg/l,0,0.00003,0,0.00003
3,2,二氧化硫,SO<sub>2</sub>,μg/m<sup>3</sup>,0,2620,0,2620
3,2,二氧化氮,NO<sub>2</sub>,μg/m<sup>3</sup>,0,940,0,940
3,2,一氧化碳,CO,μg/m<sup>3</sup>,0,60,0,60
